date,ticker,open,high,close,volume,avg_vol,rvol,gap_pct,gain_pct,close_pct,dumped,rank
2025-12-02,BBIG,0.0,0.0,0.0,8401,5653,1.5,-83.3,500.0,500.0,False,avoid
2025-12-02,MITI,0.09,0.15,0.15,128100,64465,2.0,0.0,66.7,66.7,False,avoid
2025-12-02,PMAX,18.42,24.5,22.7,969870,2377,407.9,5.3,33.0,23.2,False,hot
2025-12-02,MGAM,0.12,0.16,0.16,1000,9105,0.1,-20.9,26.4,26.4,False,avoid
2025-12-02,ILUS,0.0,0.0,0.0,344520,712571,0.5,-20.0,25.0,0.0,True,avoid
2025-12-02,MYSZ,0.97,1.21,1.03,4704100,74025,63.5,9.0,24.7,6.2,True,hot
2025-12-02,LESL,3.02,3.74,3.58,602700,134435,4.5,2.4,23.8,18.5,False,watch
2025-12-02,SBEV,1.38,1.69,1.36,19254000,2917665,6.6,3.0,22.5,-1.4,True,watch
2025-12-02,IPW,10.73,12.93,12.35,119000,26135,4.6,3.1,20.5,15.1,False,watch
2025-12-03,BBIG,0.0,0.0,0.0,6941,4967,1.4,-76.7,328.6,328.6,False,avoid
2025-12-03,ILUS,0.0,0.0,0.0,1739616,668154,2.6,-25.0,166.7,33.3,True,avoid
2025-12-03,NVOS,0.0,0.0,0.0,2622,5304,0.5,0.0,138.1,-47.6,True,avoid
2025-12-03,FOFO,11.8,14.93,13.01,249200,52210,4.8,2.0,26.5,10.3,True,watch
2025-12-03,AHMA,14.49,18.2,15.04,6100400,2500755,2.4,18.3,25.6,3.8,True,avoid
2025-12-03,YXT,0.8,0.98,0.97,41900,168855,0.2,-6.3,22.9,21.6,False,avoid
2025-12-03,SBEV,1.3,1.58,1.32,674600,3876235,0.2,-4.4,21.5,1.5,True,avoid
2025-12-03,MREO,1.8,2.18,1.96,11642100,1377250,8.5,2.9,21.1,8.9,False,watch
2025-12-03,ZSPC,0.38,0.46,0.44,3064800,992970,3.1,3.0,21.1,15.7,False,watch
2025-12-03,SIDU,0.64,0.77,0.77,1821900,1258090,1.4,-0.2,20.1,20.1,False,avoid
2025-12-04,BACK,0.06,0.2,0.18,275800,6810,40.5,14.3,212.5,181.2,True,hot
2025-12-04,NVOS,0.0,0.0,0.0,8616,5389,1.6,-9.1,110.0,0.0,True,avoid
2025-12-04,BBIG,0.0,0.0,0.0,4693,5275,0.9,-83.3,100.0,100.0,False,avoid
2025-12-04,ABLV,0.77,1.3,0.97,20749300,9585,2164.8,6.9,68.8,26.2,True,hot
2025-12-04,LZMH,1.81,2.68,2.52,1441400,342205,4.2,-6.7,47.8,39.2,False,watch
2025-12-04,DEVS,1.75,2.46,2.24,1737300,122235,14.2,-7.9,40.6,28.0,False,watch
2025-12-04,BAIG,11.85,16.13,15.64,863000,768720,1.1,-0.4,36.1,32.0,False,avoid
2025-12-04,ILLR,0.44,0.58,0.56,1516400,298930,5.1,6.8,31.1,26.1,False,watch
2025-12-04,KALA,1.32,1.72,0.96,180162700,11230180,16.0,42.2,30.8,-26.7,True,warm
2025-12-04,TOVX,0.2,0.25,0.24,6843500,2573695,2.7,0.0,25.0,20.0,False,avoid
2025-12-04,CRML,8.17,10.0,9.94,10953300,6721430,1.6,-1.3,22.4,21.7,False,avoid
2025-12-04,MDCX,1.87,2.26,1.92,1158700,273725,4.2,7.8,21.2,2.9,True,watch
2025-12-05,WAI,2.5,3.83,3.36,458400,190095,2.4,-1.6,53.2,34.4,True,avoid
2025-12-05,BACK,0.13,0.19,0.18,36700,20565,1.8,-29.4,49.6,41.7,False,avoid
2025-12-05,SOBR,1.52,2.17,2.0,772900,31145,24.8,0.0,42.5,31.6,False,warm
2025-12-05,BBIG,0.0,0.0,0.0,4334,4704,0.9,-50.0,40.0,40.0,False,avoid
2025-12-05,ROLR,1.53,2.03,1.62,292100,17350,16.8,1.3,32.7,5.9,True,warm
2025-12-05,ZSPC,0.41,0.54,0.53,2868600,1124485,2.6,0.2,30.8,27.8,False,avoid
2025-12-05,RETO,3.0,3.9,3.77,63900,9700,6.6,-0.3,30.1,25.8,False,watch
2025-12-05,MITI,0.1,0.13,0.13,80800,66015,1.2,-28.6,30.0,30.0,False,avoid
2025-12-05,DEVS,2.19,2.79,2.0,2126100,206670,10.3,-2.2,27.4,-8.7,True,watch
